store_name,period_month,source_file,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,traffic,Трафик,2560.0,2645.0,1.033203125,2645.0,1.033203125,85.0,,
"Ялта, Набережная 18",2025-08,ЕО Ялта Ленина 18_08.2025.xlsx,conversion,Конверсия план/факт,0.18,0.14215500945179585,0.789750052509977,0.14874710862113433,0.8263728256729685,-0.031252891378865666,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,revenue,Выручка,3466800.0,3134427.08,0.9041268835814007,3134427.0800000015,0.9041268835814011,-332372.9199999985,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,items_count,Кол-во изделий,577.8,482.0,0.8341986846659745,481.9999999999997,0.8341986846659739,-95.80000000000024,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,avg_check,Средний чек,10800.0,11481.417875457875,1.063094247727581,11481.417875457875,1.063094247727581,681.4178754578752,0.0,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,avg_item_price,Средняя стоимость изделия,6000.0,6502.960746887967,1.0838267911479944,6502.960746887974,1.0838267911479957,502.960746887974,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,items_per_check,Длина чека,1.8,1.7655677655677655,0.9808709808709808,1.7655677655677655,0.9808709808709808,-0.03443223443223453,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,checks_count,Кол-во чеков,321.0,273.0,0.8504672897196262,273.0,0.8504672897196262,-48.0,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,shifts_count,Кол-во смен,30.0,30.0,1.0,30.0,1.0,0.0,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,115560.0,104480.90266666668,0.9041268835814008,104480.90266666668,0.9041268835814008,-11079.097333333324,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-332372.9199999999,,-332372.9199999999,,,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,traffic,Трафик,2140.0,2186.0,1.0214953271028038,2186.0,1.0214953271028038,46.0,,
"Ялта, Набережная 18",2025-09,ЕО Ялта Ленина 18_09.2025.xlsx,conversion,Конверсия план/факт,0.15,0.12488563586459286,0.8325709057639524,0.12729342822112585,0.8486228548075058,-0.02270657177887414,,
"Ялта, Набережная 18",2025-10,ЕО Ялта Ленина 18_10.2025.xlsx,revenue,Выручка,2425962.0,1451501.2,0.5983198417782306,1451501.200000001,0.598319841778231,-974460.7999999991,,
"Ялта, Набережная 18",2025-10,ЕО Ялта Ленина 18_10.2025.xlsx,items_count,Кол-во изделий,411.18,243.0,0.590982051656209,253.53161885877844,0.6165952109995098,-157.64838114122156,,
"Ялта, Набережная 18",2025-10,ЕО Ялта Ленина 18_10.2025.xlsx,avg_check,Средний чек,10502.0,10294.334751773049,0.9802261237643353,10294.334751773049,0.9802261237643353,-207.665248226951,0.0,
"Ялта, Набережная 18",2025-10,ЕО Ялта Ленина 18_10.2025.xlsx,avg_item_price,Средняя стоимость изделия,5900.0,5973.255967078189,1.0124162656064728,5725.128907130564,0.9703608317170447,-174.87109286943632,,
"Ялта, Набережная 18",2025-10,ЕО Ялта Ленина 18_10.2025.xlsx,items_per_check,Длина чека,1.78,1.7234042553191489,0.9682046378197465,1.7234042553191489,0.9682046378197465,-0.05659574468085116,,
